"filename", "language", "JavaScript", "HTML", "Ini", "PostCSS", "comment", "blank", "total"
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\layers\side\realities.js", "JavaScript", 83, 0, 0, 0, 0, 11, 94
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\layers\side\savebank.js", "JavaScript", 404, 0, 0, 0, 0, 22, 426
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\layers\side\secretachievements.js", "JavaScript", 416, 0, 0, 0, 0, 14, 430
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\mod.js", "JavaScript", 395, 0, 0, 0, 20, 27, 442
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\NumberFormating.js", "JavaScript", 171, 0, 0, 0, 1, 15, 187
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\break_eternity.js", "JavaScript", 3320, 0, 0, 0, 224, 374, 3918
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\canvas.js", "JavaScript", 75, 0, 0, 0, 1, 10, 86
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\components.js", "JavaScript", 803, 0, 0, 0, 28, 42, 873
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\displays.js", "JavaScript", 247, 0, 0, 0, 0, 0, 247
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\easyAccess.js", "JavaScript", 78, 0, 0, 0, 0, 21, 99
"c:\Users\coolboris\OneDrive - Scholengroep Sint-Rembert vzw\Bureaublad\dev\The-Galactic-Tree\js\technical\game.js", "JavaScript", 444, 0, 0, 0, 4, 55, 503
